,name,company,year,Price,kms_driven,fuel_type
0,Santro Xing,Hyundai,2007,80000,45000,Petrol
1,Grand i10,Hyundai,2014,325000,28000,Petrol
2,EcoSport Titanium,Ford,2014,575000,36000,Diesel
3,Figo,Ford,2012,175000,41000,Diesel
4,Eon,Hyundai,2013,190000,25000,Petrol
5,EcoSport Ambiente,Ford,2016,830000,24530,Diesel
6,Suzuki Alto,Maruti,2015,250000,60000,Petrol
7,Fabia Classic,Skoda,2010,182000,60000,Petrol
8,Suzuki Stingray,Maruti,2015,315000,30000,Petrol
9,Elite i20,Hyundai,2014,415000,32000,Petrol
10,Scorpio SLE,Mahindra,2015,320000,48660,Diesel
11,A8,Audi,2017,1000000,4000,Petrol
12,Q7,Audi,2014,500000,16934,Diesel
13,Scorpio S10,Mahindra,2016,350000,43000,Diesel
14,Suzuki Alto,Maruti,2014,160000,35550,Petrol
15,Scorpio S10,Mahindra,2016,310000,39522,Diesel
16,Suzuki Alto,Maruti,2015,75000,39000,Petrol
17,i20 Sportz,Hyundai,2012,100000,55000,Petrol
18,Suzuki Alto,Maruti,2017,190000,72000,Petrol
19,Suzuki Vitara,Maruti,2016,290000,15975,Diesel
20,Suzuki Alto,Maruti,2008,95000,70000,Petrol
21,Bolero DI,Mahindra,2017,180000,23452,Diesel
22,Suzuki Swift,Maruti,2014,385000,35522,Diesel
23,Scorpio S10,Mahindra,2015,250000,48508,Diesel
24,Suzuki Swift,Maruti,2017,180000,15487,Petrol
25,Suzuki Wagon,Maruti,2013,105000,39000,Petrol
26,Innova 2.0,Toyota,2012,650000,82000,Diesel
27,Lodgy 85,Renault,2018,689999,20000,Diesel
28,Yeti Ambition,Skoda,2012,448000,68000,Diesel
29,Suzuki Baleno,Maruti,2017,549000,32000,Diesel
30,Duster 110,Renault,2012,501000,38000,Diesel
31,Duster 85,Renault,2013,489999,27000,Diesel
32,City 1.5,Honda,2011,280000,33000,Petrol
33,Suzuki Dzire,Maruti,2013,349999,46000,Diesel
34,Amaze,Honda,2013,284999,46000,Diesel
35,Amaze 1.5,Honda,2015,345000,36000,Diesel
36,City,Honda,2015,499999,55000,Petrol
37,Redi GO,Datsun,2017,235000,16000,Petrol
38,Suzuki SX4,Maruti,2010,249999,36000,Petrol
39,Pajero Sport,Mitsubishi,2015,1475000,47000,Diesel
40,Scorpio S10,Mahindra,2015,395000,35000,Diesel
41,Suzuki Swift,Maruti,2017,220000,30874,Petrol
42,City ZX,Honda,2017,170000,15000,Diesel
43,Suzuki Wagon,Maruti,2013,85000,29685,Petrol
44,Indigo eCS,Tata,2017,200000,130000,Diesel
45,Scorpio SLE,Mahindra,2012,570000,19000,Diesel
46,Polo Highline,Volkswagen,2014,315000,60000,Petrol
47,Spark LS,Chevrolet,2010,110000,41000,Petrol
48,Duster 110PS,Renault,2012,501000,35000,Diesel
49,City,Honda,2015,448999,54000,Petrol
50,Cooper S,Mini,2013,1891111,13000,Petrol
51,Fabia 1.2L,Skoda,2011,159500,38200,Diesel
52,Amaze,Honda,2015,344999,22000,Petrol
53,Duster,Renault,2014,449999,50000,Diesel
54,Cooper S,Mini,2013,1891111,13500,Petrol
55,Scorpio S4,Mahindra,2015,865000,30000,Diesel
56,Scorpio VLX,Mahindra,2014,699000,50000,Diesel
57,Quanto C8,Mahindra,2013,375000,20000,Diesel
58,EcoSport,Ford,2017,489999,39000,Petrol
59,Brio,Honda,2012,224999,30000,Petrol
60,Vento Highline,Volkswagen,2019,1200000,3600,Diesel
61,i20 Magna,Hyundai,2009,195000,32000,Petrol
62,Corolla Altis,Toyota,2010,351000,38000,Diesel
63,Verna Transform,Hyundai,2008,160000,45000,Petrol
64,Corolla Altis,Toyota,2009,240000,35000,Petrol
65,City 1.5,Honda,2005,90000,50000,Petrol
66,Fabia 1.2L,Skoda,2011,155000,45863,Diesel
67,3 Series,BMW,2011,600000,60500,Petrol
68,Suzuki A,Maruti,2011,189500,12500,Petrol
69,Etios GD,Toyota,2013,350000,60000,Diesel
70,Figo Diesel,Ford,2012,210000,35000,Diesel
71,Suzuki Swift,Maruti,2014,390000,35000,Petrol
72,Beat LT,Chevrolet,2012,135000,45000,Diesel
73,7 Series,BMW,2009,1600000,35000,Petrol
74,XUV500 W8,Mahindra,2013,701000,38000,Diesel
75,i10 Magna,Hyundai,2014,265000,18000,Petrol
76,Verna Fluidic,Hyundai,2015,525000,35000,Diesel
77,Suzuki Swift,Maruti,2013,372000,13349,Petrol
78,Suzuki Ertiga,Maruti,2016,635000,29000,Petrol
79,EcoSport Titanium,Ford,2014,550000,44000,Diesel
80,Suzuki Ertiga,Maruti,2016,575000,29000,Petrol
81,Suzuki Ertiga,Maruti,2013,485000,42000,Diesel
82,Suzuki Alto,Maruti,2012,155000,14000,Petrol
83,Grand i10,Hyundai,2014,345000,49000,Diesel
84,Amaze 1.2,Honda,2014,325000,42000,Petrol
85,i20 Asta,Hyundai,2012,329500,36200,Diesel
86,Figo Diesel,Ford,2014,195000,50000,Diesel
87,Suzuki Eeco,Maruti,2015,251111,55000,Petrol
88,Suzuki Ertiga,Maruti,2014,569999,45000,Petrol
89,Suzuki Esteem,Maruti,2007,69999,51000,Petrol
90,Suzuki Ritz,Maruti,2014,299999,19000,Petrol
91,Suzuki Dzire,Maruti,2009,220000,46000,Petrol
92,Suzuki Ritz,Maruti,2013,399999,33000,Diesel
93,Suzuki Dzire,Maruti,2015,450000,104000,Diesel
94,Etios Liva,Toyota,2014,270000,55000,Petrol
95,i20 Sportz,Hyundai,2011,350000,33333,Diesel
96,Spark,Chevrolet,2012,158400,33600,Petrol
97,Suzuki Alto,Maruti,2017,350000,5600,Petrol
98,Micra XV,Nissan,2011,179000,41000,Petrol
99,Suzuki Swift,Maruti,2007,125000,70000,Petrol
100,Suzuki Alto,Maruti,2018,200000,7500,Petrol
101,Amaze 1.5,Honda,2013,299000,45000,Diesel
102,Suzuki Alto,Maruti,2015,220000,38000,Petrol
